Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
923,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,29/03/2019,03/01/2017
924,EO,Swansea,Operations,1430,Customer Support Centre,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,17/07/2022,03/01/2017
925,EO,Plymouth,DDat,1815,Office of DDaT,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,05/02/2023,03/01/2017
926,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Involuntary Termination,Dismissal,20/05/2021,03/01/2017
927,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.86,Payroll,Resignation,Resignation,09/11/2018,03/01/2017
928,Grade 7,Nottingham,DDat,7530,Digital Development,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/03/2020,23/01/2017
929,HEO,Croydon,CE & CLR,1105,CE & CLR,Employee,Permanent,,1,Payroll,Resignation,Resignation,08/07/2018,01/02/2017
930,Grade 7,Croydon,FBS,1360,Financial Reporting and Accounting,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/11/2019,06/02/2017
931,SEO,Plymouth,Customer & Strategy Group,1840,DDAT Data Management & Analysis,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,04/11/2022,20/03/2017
932,EO,Croydon,FBS,1370,Commercial,Employee,Permanent,,1,Payroll,Resignation,Resignation,22/10/2018,27/02/2017
933,SEO+,Croydon,CE & CLR,1241,Digital Communications,Employee,Permanent,,1,Payroll,Resignation,Resignation,28/02/2022,20/03/2017
934,Grade 7,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,,1,Payroll,Resignation,,01/04/2019,03/04/2017
935,SEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,1,Payroll,Resignation,Resignation,29/11/2019,24/04/2017
936,Grade 7,Croydon,CE & CLR,1241,External Communications,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/08/2018,17/04/2017
937,SEO,Croydon,CE & CLR,1241,Media Campaigns and Planning,Employee,Permanent,Part-time regular,0.944,Payroll,Resignation,Resignation,05/02/2023,01/05/2017
938,Grade 7,Plymouth,Customer & Strategy Group,1830,DDAT Digital Product,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,09/09/2022,08/05/2017
939,HEO,Croydon,FBS,1360,Finance,Employee,Permanent,,1,Payroll,Resignation,Resignation,20/05/2018,15/05/2017
940,APP,Nottingham,Operations,1470,Registration Services,Employee,Fixed Term Appt,Apprentice,1,Payroll,Resignation,,03/05/2019,15/05/2017
941,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,29/10/2020,15/05/2017
942,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.541,Payroll,Resignation,,27/05/2022,15/05/2017
943,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,Death in Service,11/12/2020,15/05/2017
944,APP,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,25/05/2018,15/05/2017
945,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Termination,Dismiss Discipry Grds No Comp,02/09/2022,15/05/2017
946,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,06/09/2020,15/05/2017
947,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,17/11/2019,15/05/2017
948,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Resignation,Resignation,05/01/2020,15/05/2017
949,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,02/02/2020,15/05/2017
950,APP,Hull,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,27/08/2018,15/05/2017
951,APP,Fylde,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,13/07/2018,15/05/2017
952,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/11/2018,15/05/2017
953,EO,Fylde,Operations,1470,Registration Services,Employee,Fixed Term Appt,Apprentice,1,Payroll,Resignation,Resignation,07/05/2021,15/05/2017
954,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,01/12/2020,01/06/2017
955,HEO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,,0.57,Payroll,Resignation,Resignation,28/02/2019,21/06/2017
956,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,27/09/2019,10/07/2017
957,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,06/11/2019,10/07/2017
958,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,20/11/2022,10/07/2017
959,APP,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,05/10/2018,10/07/2017
960,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,24/07/2022,10/07/2017
961,APP,Telford,Operations,1470,Registration Services,Employee,Fixed Term Appt,Apprentice,1,Payroll,Termination,End Of Appointment,31/12/2018,10/07/2017
962,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,21/06/2019,10/07/2017
963,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,14/06/2019,10/07/2017
964,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/03/2019,10/07/2017
965,AO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,,1,Payroll,Resignation,Resignation,22/11/2019,10/07/2017
966,APP,Hull,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Termination,Dismiss Discipry Grds No Comp,10/09/2018,10/07/2017
967,APP,Gloucester,Operations,1470,Registration Services,Employee,Fixed Term Appt,Apprentice,1,Payroll,Resignation,Resignation,31/01/2019,10/07/2017
968,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,15/08/2019,10/07/2017
969,APP,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,14/06/2018,10/07/2017
970,AO,Durham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,04/11/2022,10/07/2017
971,APP,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,28/09/2018,10/07/2017
972,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,27/09/2019,10/07/2017
973,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Termination,Dismiss Discipry Grds No Comp,17/02/2023,10/07/2017
974,APP,Durham,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,27/07/2018,10/07/2017
975,APP,Durham,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,23/05/2018,10/07/2017
976,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,,1,Payroll,Resignation,Resignation,09/03/2021,10/07/2017
977,AO,Telford,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,10/05/2019,10/07/2017
978,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/02/2022,10/07/2017
979,SCS1,Plymouth,DDat,7505,Digital Data and Technology,Employee,Permanent,Senior Civil Servant,1,Payroll,Resignation,Resignation,31/05/2019,26/06/2017
980,SEO,Plymouth,Customer & Strategy Group,1820,DDAT Digital Design,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/06/2021,17/07/2017
981,SEO,Plymouth,DDat,7530,User Centred Research and Design,Employee,Permanent,,1,Payroll,Resignation,Resignation,15/06/2018,31/07/2017
982,SEO,Croydon,DDat,7530,User Centred Research and Design,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/01/2020,01/08/2017
983,HEO,Plymouth,FBS,1370,Commercial,Employee,Permanent,,1,Payroll,Resignation,Resignation,25/11/2018,04/09/2017
984,HEO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,,0.919,Payroll,Resignation,,31/01/2022,04/09/2017
985,AO,Plymouth,DDat,1815,Office of DDaT,Employee,Fixed Term Appt,,1,Payroll,Termination,End Of Appointment,03/09/2018,04/09/2017
986,AO,Plymouth,DDat,1815,Office of DDaT,Employee,Fixed Term Appt,,1,Payroll,Termination,End Of Appointment,03/09/2018,04/09/2017
987,SEO,Croydon,DDat,1865,DDAT Software Development,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/01/2023,04/09/2017
988,EO,Plymouth,DDat,7530,User Centred Research and Design,Employee,Permanent,,1,Payroll,Resignation,Resignation,13/09/2020,04/09/2017
989,SEO,Nottingham,FBS,1370,Commercial,Employee,Permanent,,1,Payroll,Resignation,Resignation,04/05/2018,05/09/2017
990,SEO,Nottingham,FBS,2100,Facilities and Property Management,Employee,Permanent,,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,21/08/2017
991,APP,Plymouth,DDat,1815,Office of DDaT,Employee,Fixed Term Appt,Apprentice,1,Payroll,Resignation,,30/09/2020,04/09/2017
992,EO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,26/10/2022,04/09/2017
993,APP,Durham,Operations,1470,Registration Services,Employee,Permanent,Apprentice,1,Payroll,Resignation,Resignation,03/04/2018,04/09/2017
994,SCS1,Croydon,FBS,1109,Strategic Planning and Performance,Employee,Permanent,Senior Civil Servant,1,Payroll,Resignation,,28/02/2019,01/09/2017
995,EO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,15/12/2020,11/09/2017
996,SEO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,Part-time regular,0.919,Payroll,Resignation,Resignation,27/01/2023,25/09/2017
997,AO,Plymouth,Operations,725,Land Charges,Employee,Permanent,,1,Payroll,Termination,Dismiss Ineff Attend (comp),21/12/2020,25/09/2017
998,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,14/07/2020,25/09/2017
999,HEO,Plymouth,DDat,1865,DDAT Software Development,Employee,Permanent,Part-time regular,0.865,Payroll,Resignation,Resignation,18/08/2022,25/09/2017
1000,SEO,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,Part-time regular,0.527,Payroll,Retirement,Retirement (Age) Above Min Age,31/08/2022,02/10/2017
1001,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Ineff Attend (comp),30/04/2021,02/10/2017
1002,EO,Nottingham,Human Resources,1233,HR Operations,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/03/2019,01/10/2017
1003,SCS2,Plymouth,Operations,1410,Operations,Employee,Permanent,Senior Civil Servant Perm FT,1,Payroll,Resignation,Voluntary Exit Pension,30/11/2022,25/10/2017
1004,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/11/2018,30/10/2017
1005,AO,Birkenhead,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,16/05/2018,30/10/2017
1006,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,07/12/2018,30/10/2017
1007,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,30/04/2021,30/10/2017
1008,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,17/12/2019,30/10/2017
1009,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,06/06/2022,30/10/2017
1010,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,01/10/2018,30/10/2017
1011,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,16/08/2019,30/10/2017
1012,AO,Birkenhead,Operations,1445,Central Operations,Employee,Permanent,,0.811,Payroll,Termination,End Of Appointment,01/09/2019,30/10/2017
1013,AO,Gloucester,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,04/05/2018,30/10/2017
1014,AO,Plymouth,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,13/04/2018,30/10/2017
1015,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.676,Payroll,Termination,Dismiss Discipry Grds No Comp,18/02/2022,30/10/2017
1016,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,28/02/2021,30/10/2017
1017,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,30/09/2022,30/10/2017
1018,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.757,Payroll,Termination,Dismiss Discipry Grds No Comp,17/01/2020,30/10/2017
1019,AO,Birkenhead,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,16/05/2018,30/10/2017
1020,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Resignation,Resignation,31/08/2020,30/10/2017
1021,AO,Birkenhead,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,17/06/2018,30/10/2017
1022,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,12/07/2019,30/10/2017
1023,AO,Birkenhead,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,09/08/2018,30/10/2017
1024,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.527,Payroll,Resignation,Resignation,31/10/2022,30/10/2017
1025,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,06/12/2020,30/10/2017
1026,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Resignation,Resignation,07/02/2020,30/10/2017
1027,AO,Leicester,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,27/04/2018,30/10/2017
1028,AO,Leicester,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,17/07/2018,30/10/2017
1029,AO,Plymouth,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,29/06/2018,30/10/2017
1030,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/11/2020,30/10/2017
1031,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/10/2018,30/10/2017
1032,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,12/08/2022,30/10/2017
1033,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Resignation,Resignation,08/05/2019,30/10/2017
1034,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Death,Death in Service,16/11/2022,30/10/2017
1035,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,03/11/2019,30/10/2017
1036,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Resignation,Resignation,18/01/2019,30/10/2017
1037,AO,Hull,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,18/04/2018,30/10/2017
1038,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/12/2021,30/10/2017
1039,AO,Nottingham,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,End Of Appointment,01/05/2018,30/10/2017
1040,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,28/02/2023,30/10/2017
1041,AO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,06/10/2021,30/10/2017
1042,AO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/08/2021,30/10/2017
1043,AO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.486,Payroll,Resignation,Resignation,30/07/2021,30/10/2017
1044,AO,Weymouth,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,24/07/2018,30/10/2017
1045,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,18/07/2019,30/10/2017
1046,AO,Weymouth,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,06/07/2018,30/10/2017
1047,AO,Weymouth,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,30/09/2018,30/10/2017
1048,AO,Telford,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,11/02/2022,30/10/2017
1049,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,End Of Appointment,31/10/2021,30/10/2017
1050,AO,Weymouth,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,25/05/2018,30/10/2017
1051,AO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.541,Payroll,Resignation,Resignation,27/09/2021,30/10/2017
1052,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/03/2019,30/10/2017
1053,AO,Telford,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,14/02/2020,30/10/2017
1054,AO,Swansea,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,25/05/2018,30/10/2017
1055,AO,Telford,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,31/08/2018,30/10/2017
1056,AO,Telford,Operations,1473,Volume Register Updates (VRU),Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,12/03/2023,30/10/2017
1057,EO,Telford,Operations,1445,Central Operations,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/12/2021,06/11/2017
1058,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Resignation,Resignation,02/07/2021,30/10/2017
1059,AO,Telford,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,21/02/2019,30/10/2017
1060,AO,Swansea,Operations,1430,Customer Support Centre,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,28/05/2021,30/10/2017
1061,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,02/11/2018,30/10/2017
1062,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,16/12/2019,30/10/2017
1063,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,17/03/2020,30/10/2017
1064,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.608,Payroll,Resignation,Resignation,31/08/2022,30/10/2017
1065,AO,Swansea,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,End Of Appointment,08/06/2018,30/10/2017
1066,EO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,02/06/2021,30/10/2017
1067,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,08/11/2020,30/10/2017
1068,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,23/10/2020,30/10/2017
1069,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,10/02/2023,30/10/2017
1070,SEO,Nottingham,Transformation,1940,Local Land Charges,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,02/01/2023,30/10/2017
1071,AO,Nottingham,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,24/04/2018,30/10/2017
1072,AO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/10/2021,30/10/2017
1073,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,11/09/2019,30/10/2017
1074,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Ineff Attend (comp),02/06/2021,30/10/2017
1075,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/07/2021,30/10/2017
1076,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,1,Payroll,Resignation,Resignation,15/11/2022,30/10/2017
1077,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,07/01/2020,30/10/2017
1078,AO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/01/2019,30/10/2017
1079,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,,19/06/2022,30/10/2017
1080,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Resignation,Resignation,14/03/2022,30/10/2017
1081,AO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,28/04/2021,30/10/2017
1082,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,06/10/2021,30/10/2017
1083,AO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,28/06/2019,30/10/2017
1084,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,08/03/2019,30/10/2017
1085,AO,Swansea,Operations,1430,Customer Support Centre,Employee,Permanent,,1,Payroll,Termination,Dismiss Discipry Grds Wth Comp,10/01/2020,30/10/2017
1086,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,08/11/2018,30/10/2017
1087,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/01/2021,30/10/2017
1088,Grade 6,Coventry,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Medical,31/12/2022,30/10/2017
1089,Grade 7 Lawyers,Gloucester,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,Part-time regular,0.919,Payroll,Resignation,Resignation,29/01/2023,30/10/2017
1090,Grade 7,Nottingham,DDat,7530,Digital Development,Employee,Permanent,,1,Payroll,Resignation,,08/04/2019,06/11/2017
1091,EO,Plymouth,DDat,1870,DDAT Quality & Test,Employee,Permanent,Part-time regular,0.865,Payroll,Resignation,Resignation,02/05/2022,01/12/2017
1092,SEO,Croydon,FBS,1370,Commercial,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,02/01/2020,01/11/2017
1093,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,1,Payroll,Resignation,Resignation,29/08/2022,06/11/2017
1094,EO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,03/12/2021,06/11/2017
1095,EO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,06/08/2018,06/11/2017
1096,EO,Croydon,FBS,1112,Central Analysis,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/08/2022,30/10/2017
1097,AO,Nottingham,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,10/05/2018,30/10/2017
1098,SCS2,Croydon,Transformation,7110,Transformation,Employee,Permanent,Senior Civil Servant Perm FT,1,Payroll,Resignation,Resignation,30/06/2022,01/11/2017
1099,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/01/2021,30/10/2017
1100,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,30/06/2022,30/10/2017
1101,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,02/08/2019,13/11/2017
1102,AO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,21/10/2020,13/11/2017
1103,AO,Nottingham,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Termination,Dismiss Discipry Grds No Comp,04/10/2019,13/11/2017
1104,Grade 7,Coventry,Customer & Strategy Group,1830,DDAT Digital Product,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,09/05/2022,01/12/2017
1105,EO,Nottingham,Human Resources,1233,HR Operations,Employee,Permanent,,1,Payroll,Resignation,,24/07/2020,11/12/2017
1106,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.811,Payroll,Resignation,Resignation,02/09/2019,01/12/2017
1107,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,12/09/2019,01/12/2017
1108,AO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,15/02/2019,01/12/2017
1109,AO,Birkenhead,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,01/11/2021,01/12/2017
1110,SCS1,Durham,Operations,1425,Customer Services SMT,Employee,Permanent,Senior Civil Servant,1,Payroll,Resignation,,30/04/2022,18/12/2017
1111,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,13/01/2019,08/01/2018
1112,AO,Coventry,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,02/05/2018,08/01/2018
1113,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,24/05/2019,08/01/2018
1114,AO,Coventry,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,17/09/2018,08/01/2018
1115,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Resignation,Resignation,31/03/2021,08/01/2018
1116,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,0.946,Payroll,Resignation,Resignation,19/11/2021,08/01/2018
1117,AO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,10/09/2020,08/01/2018
1118,AO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,06/03/2022,08/01/2018
1119,AO,Croydon,Operations,1470,Registration Services,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,31/05/2018,08/01/2018
