Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
1344,AO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,26/07/2020,01/05/2019
1345,AO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/01/2020,01/05/2019
1346,HEO,Gloucester,Data & Register Integrity Group,1555,Register Protection,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,08/05/2022,01/05/2019
1347,AO,Hull,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,13/08/2019,01/05/2019
1348,AO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Termination,Dismiss Discipry Grds No Comp,22/06/2022,01/05/2019
1349,AO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,30/06/2020,01/05/2019
1350,AO,Leicester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Discharge IneffectiveProb/Trial,07/10/2019,01/05/2019
1351,AO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,28/11/2021,01/05/2019
1352,HEO,Plymouth,DDat,1805,DDAT Business Analysis,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/12/2021,28/05/2019
1353,HEO,Plymouth,DDat,1865,DDAT Software Development,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/03/2022,03/06/2019
1354,HEO,Plymouth,DDat,1865,DDAT Software Development,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,29/05/2022,03/06/2019
1355,SEO,Swansea,DDat,1835,DDAT User Research,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,18/11/2022,07/05/2019
1356,EO,Durham,DDat,1827,Supplier Service & Performance,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,02/10/2022,17/06/2019
1357,EO,Plymouth,DDat,1865,DDAT Software Development,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,09/05/2022,03/06/2019
1358,HEO,Plymouth,DDat,1835,DDAT User Research,Employee,Permanent,,1,Payroll,Resignation,Resignation,03/01/2022,03/06/2019
1359,SEO+,Nottingham,FBS,2100,Facilities and Property Management,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/01/2022,03/06/2019
1360,Grade 6,Croydon,Customer & Strategy Group,1830,DDAT Digital Product,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,29/08/2022,10/06/2019
1361,Grade 6,Croydon,FBS,1109,Strategic Planning and Performance,Employee,Fixed Term Appt,,1,Payroll,Resignation,Resignation,26/07/2020,10/07/2019
1362,AO,Durham,Operations,1443,Operations Directorate Planning,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,Resignation,10/07/2022,01/07/2019
1363,EO,Durham,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,,1,Payroll,Resignation,Resignation,29/11/2020,01/07/2019
1364,AO,Durham,Operations,1430,Customer Service Centre - Durham,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/08/2020,01/07/2019
1365,AO,Swansea,Operations,1430,Customer Service Centre - Swansea,Employee,Permanent,On Progression,1,Payroll,Resignation,Resignation,18/09/2020,01/07/2019
